	Lemma	Gender	LemmaID
117	returnare	Fem	returnare
118	băț	Neut	băț
119	povară	Fem	povară
120	negură	Fem	negură
121	drumeț	Masc	drumeț
122	frumusețe	Fem	frumusețe
123	pliant	Neut	pliant
124	grafică	Fem	grafică
125	stâncă	Fem	stâncă
126	viță	Fem	viță
127	ghid	Neut	ghid
128	demnitate	Fem	demnitate
129	activitate	Fem	activitate
130	hrisov	Neut	hrisov
131	film	Neut	film
132	comodă	Fem	comodă
133	literatură	Fem	literatură
134	minciună	Fem	minciună
135	față	Fem	față
136	uscat	Neut	uscat
137	strop	Masc	strop
138	zdrobitoare	Fem	zdrobitoare
139	cifră	Fem	cifră
140	ceapă	Fem	ceapă
141	dinte	Masc	dinte
142	premiere	Fem	premiere
143	stea	Fem	stea
144	greutate	Fem	greutate
145	ipoteză	Fem	ipoteză
146	cabină	Fem	cabină
147	invitat	Masc	invitat
148	organizator	Masc	organizator
149	piept	Masc	piept
150	dubiță	Fem	dubiță
151	deszăpezire	Fem	deszăpezire
152	căsoi	Neut	căsoi
153	universitate	Fem	universitate
154	mătușă	Fem	mătușă
155	tânără	Fem	tânără
156	fân	Neut	fân
157	coarnă	Fem	coarnă
158	participare	Fem	participare
159	răchită	Fem	răchită
160	primejdie	Fem	primejdie
161	peisaj	Neut	peisaj
162	afecțiune	Fem	afecțiune
163	competență	Fem	competență
164	expoziție	Fem	expoziție
165	fată	Fem	fată
166	stație	Fem	stație
167	pește	Masc	pește
168	galben		galben
169	respect	Neut	respect
170	vară	Fem	vară
171	glumelă	Fem	glumelă
172	sugestie	Fem	sugestie
173	mâhnire	Fem	mâhnire
174	ștergar	Neut	ștergar
175	vopsea	Fem	vopsea
176	sector	Neut	sector
177	solicitare	Fem	solicitare
178	obicei	Neut	obicei
179	muză	Fem	muză
180	deznădejde	Fem	deznădejde
181	acceptare	Fem	acceptare
182	biblioraft	Neut	biblioraft
183	cartier	Neut	cartier
184	ecranizare	Fem	ecranizare
185	stejar	Masc	stejar
186	afrodită	Fem	afrodită
187	răutate	Fem	răutate
188	dana		dana
189	pinguin	Masc	pinguin
190	cartă	Fem	cartă
191	regulament	Neut	regulament
192	schimb	Neut	schimb
193	investigație	Fem	investigație
194	apreciat	Masc	apreciat
195	sprânceană	Fem	sprânceană
196	stil	Neut	stil
197	inundație	Fem	inundație
198	munte	Masc	munte
199	w		w
200	îndrăgostit	Masc	îndrăgostit
201	imaginație	Fem	imaginație
202	util		util
203	adjunct	Masc	adjunct
204	viziune	Fem	viziune
205	insă	Fem	insă
206	american	Masc	american
207	întins	Neut	întins
208	enciclopedie	Fem	enciclopedie
209	colt	Neut	colt
210	azot		azot
211	atribuit	Masc	atribuit
212	zgârci	Neut	zgârci
213	aleasă	Fem	aleasă
214	drag		drag
215	colon	Masc	colon
216	jumătate	Fem	jumătate
217	tină	Fem	tină
218	format	Neut	format
219	ocazie	Fem	ocazie
220	imprudență	Fem	imprudență
221	intrare	Fem	intrare
222	mobil		mobil
223	plâns	Neut	plâns
224	crustaceu	Neut	crustaceu
225	semen	Masc	semen
226	vultur	Masc	vultur
227	adaptare	Fem	adaptare
228	analizare	Fem	analizare
229	o		o
230	fiară	Fem	fiară
231	t		t
232	nor	Masc	nor
233	prooroc	Masc	prooroc
234	navă	Fem	navă
235	străinătate	Fem	străinătate
236	coborâre	Fem	coborâre
237	lectură	Fem	lectură
238	orizont	Neut	orizont
239	letopiseț	Neut	letopiseț
240	respingere	Fem	respingere
241	integrare	Fem	integrare
242	panglică	Fem	panglică
243	singurătate	Fem	singurătate
244	pachet	Neut	pachet
245	pulover	Neut	pulover
246	speranță	Fem	speranță
247	temperatură	Fem	temperatură
248	colindă	Fem	colindă
249	frică	Fem	frică
250	reușită	Fem	reușită
251	produs		produs
252	amiază	Fem	amiază
253	mângâiere	Fem	mângâiere
254	biologie	Fem	biologie
255	înotător	Masc	înotător
256	foaie	Fem	foaie
257	herghelie	Fem	herghelie
258	grâu	Neut	grâu
259	strălucire	Fem	strălucire
260	viteză	Fem	viteză
261	dar	Neut	dar
262	tinerețe	Fem	tinerețe
263	obiectiv	Neut	obiectiv
264	tabără	Fem	tabără
265	creștin	Masc	creștin
266	conduită	Fem	conduită
267	oaste	Fem	oaste
268	rol	Neut	rol
269	lacună	Fem	lacună
270	proză	Fem	proză
271	serie	Fem	serie
272	pasaj	Neut	pasaj
273	os	Neut	os
274	bluză	Fem	bluză
275	fotografie	Fem	fotografie
276	cocoș	Masc	cocoș
277	pungă	Fem	pungă
278	săpun	Neut	săpun
279	asistentă	Fem	asistentă
280	supremație	Fem	supremație
281	sac	Masc	sac
282	componentă	Fem	componentă
283	cartof	Masc	cartof
284	frate	Masc	frate
285	nepot	Masc	nepot
286	pasăre	Fem	pasăre
287	arbor	Masc	arbor
288	inițială	Fem	inițială
289	portocal	Masc	portocal
290	prilej	Neut	prilej
291	grupaj	Neut	grupaj
292	invenție	Fem	invenție
293	studiu	Neut	studiu
294	încetare	Fem	încetare
295	corn	Neut	corn
296	ceață	Fem	ceață
297	debarcare	Fem	debarcare
298	găină	Fem	găină
299	dor	Neut	dor
300	tipărire	Fem	tipărire
301	fugă	Fem	fugă
302	grămadă	Fem	grămadă
303	viață	Fem	viață
304	coajă	Fem	coajă
305	transcriere	Fem	transcriere
306	univers	Neut	univers
307	amestec	Neut	amestec
308	țipăt	Neut	țipăt
309	vecin	Masc	vecin
310	bir	Neut	bir
311	definiție	Fem	definiție
312	țăran	Masc	țăran
313	cavalerie	Fem	cavalerie
314	ureche	Fem	ureche
315	joacă	Fem	joacă
316	fruct	Neut	fruct
317	voie	Fem	voie
318	străin	Masc	străin
319	costum	Neut	costum
320	intrigă	Fem	intrigă
321	nas	Neut	nas
322	mărime	Fem	mărime
323	competiție	Fem	competiție
324	coș		coș
325	album	Neut	album
326	post	Neut	post
327	kilogram	Neut	kilogram
328	cârtiță	Fem	cârtiță
329	accent	Neut	accent
330	soră	Fem	soră
331	duminică	Fem	duminică
332	ban	Masc	ban
333	arc	Neut	arc
334	cariocă	Fem	cariocă
335	matematică	Fem	matematică
336	văr	Masc	văr
337	cadență	Fem	cadență
338	creastă	Fem	creastă
339	balama	Fem	balama
340	conținut	Neut	conținut
341	mură	Fem	mură
342	gheară	Fem	gheară
343	suport	Neut	suport
344	curte	Fem	curte
345	nedumerire	Fem	nedumerire
346	capitol	Neut	capitol
347	apostol	Neut	apostol
348	bucătărie	Fem	bucătărie
349	alegere	Fem	alegere
350	pui	Masc	pui
351	cinste		cinste
352	șură	Fem	șură
353	casă	Fem	casă
354	inginer	Masc	inginer
355	nuc	Masc	nuc
356	zare	Fem	zare
357	luncă	Fem	luncă
358	atenție	Fem	atenție
359	recoltă	Fem	recoltă
360	regină	Fem	regină
361	jder	Masc	jder
362	ezitare	Fem	ezitare
363	miere	Fem	miere
364	aglomerare	Fem	aglomerare
365	morcov	Masc	morcov
366	dulceață	Fem	dulceață
367	rapsodie	Fem	rapsodie
368	calitate	Fem	calitate
369	succesiune	Fem	succesiune
370	trimitere	Fem	trimitere
371	văduvă	Fem	văduvă
372	profil	Neut	profil
373	grilă	Fem	grilă
374	componență	Fem	componență
375	dispariție	Fem	dispariție
376	mânecă	Fem	mânecă
377	practică	Fem	practică
378	carton	Neut	carton
379	iz	Neut	iz
380	blugi		blugi
381	cooperare	Fem	cooperare
382	popor	Neut	popor
383	lung		lung
384	chip	Neut	chip
385	frig	Neut	frig
386	buton	Neut	buton
387	conducător	Masc	conducător
388	degradare	Fem	degradare
389	infinit	Neut	infinit
390	mișcare	Fem	mișcare
391	sfat	Neut	sfat
392	retorică	Fem	retorică
393	sensibilitate	Fem	sensibilitate
394	zahăr		zahăr
395	cantitate	Fem	cantitate
396	paragraf	Neut	paragraf
397	temă	Fem	temă
398	muncă	Fem	muncă
399	eră	Fem	eră
400	cor	Neut	cor
401	zi	Fem	zi
402	blestem	Neut	blestem
403	continent	Neut	continent
404	tiparniță	Fem	tiparniță
405	ie	Fem	ie
406	gust	Neut	gust
407	autodistrugere	Fem	autodistrugere
408	responsabilitate	Fem	responsabilitate
409	ofensivă	Fem	ofensivă
410	amenajat	Masc	amenajat
411	eroare	Fem	eroare
412	corectitudine	Fem	corectitudine
413	muncitor	Masc	muncitor
414	neutralitate	Fem	neutralitate
415	raznă	Fem	raznă
416	lăcomie	Fem	lăcomie
417	pionier	Masc	pionier
418	tartă	Fem	tartă
419	agricultură	Fem	agricultură
420	plictiseală	Fem	plictiseală
421	plantă	Fem	plantă
422	sabie	Fem	sabie
423	preferință	Fem	preferință
424	blană	Fem	blană
425	actriță	Fem	actriță
426	cutie	Fem	cutie
427	decor	Neut	decor
428	aplicație	Fem	aplicație
429	orfan	Masc	orfan
430	ascuns	Masc	ascuns
431	partidă	Fem	partidă
432	soi	Neut	soi
433	educație	Fem	educație
434	întregire	Fem	întregire
435	petic	Neut	petic
436	corelație	Fem	corelație
437	component	Masc	component
438	cetate	Fem	cetate
439	ocupație	Fem	ocupație
440	tei		tei
441	furie	Fem	furie
442	veac	Neut	veac
443	melc	Masc	melc
444	papuc	Masc	papuc
445	împărăteasă	Fem	împărăteasă
446	proprietate	Fem	proprietate
447	anunț	Neut	anunț
448	cântat		cântat
449	pol	Masc	pol
450	vrej	Masc	vrej
451	întâmplare	Fem	întâmplare
452	experiență	Fem	experiență
453	șerb	Masc	șerb
454	împărăție	Fem	împărăție
455	cămilă	Fem	cămilă
456	prieten	Masc	prieten
457	dragoste	Fem	dragoste
458	frână	Fem	frână
459	mitropolit	Masc	mitropolit
460	reflectare	Fem	reflectare
461	secundară	Fem	secundară
462	ecran	Neut	ecran
463	număr	Neut	număr
464	împărat	Masc	împărat
465	dispoziție	Fem	dispoziție
466	iveală	Fem	iveală
467	cuțit	Neut	cuțit
468	pronunție	Fem	pronunție
469	episcop	Neut	episcop
470	creangă	Fem	creangă
471	pseudonim	Neut	pseudonim
472	îndrumare	Fem	îndrumare
473	deget	Neut	deget
474	clădire	Fem	clădire
475	dans	Neut	dans
476	claritate	Fem	claritate
477	mei		mei
478	capital	Neut	capital
479	scriitor	Masc	scriitor
480	cruce	Fem	cruce
481	petală	Fem	petală
482	fabrică	Fem	fabrică
483	strategie	Fem	strategie
484	templu	Neut	templu
485	pas	Masc	pas
486	piesă	Fem	piesă
487	distrugere	Fem	distrugere
488	structură	Fem	structură
489	pluș	Neut	pluș
490	creație	Fem	creație
491	meșter	Masc	meșter
492	împărțire	Fem	împărțire
493	condamnare	Fem	condamnare
494	dovadă	Fem	dovadă
495	vale	Fem	vale
496	comună	Fem	comună
497	cont	Neut	cont
498	maică	Fem	maică
499	pericol	Neut	pericol
500	abur	Masc	abur
501	pricepere	Fem	pricepere
502	reproș	Neut	reproș
503	centimetru	Neut	centimetru
504	smarald	Neut	smarald
505	teamă	Fem	teamă
506	discuție	Fem	discuție
507	toc	Neut	toc
508	campanie	Fem	campanie
509	fluture	Masc	fluture
510	hotărâre	Fem	hotărâre
511	recomandare	Fem	recomandare
512	tavan	Neut	tavan
513	academician	Masc	academician
514	asigurat	Masc	asigurat
515	pescar	Masc	pescar
516	slujbă	Fem	slujbă
517	paletă	Fem	paletă
518	primărie	Fem	primărie
519	albie	Fem	albie
520	întregime	Fem	întregime
521	diagramă	Fem	diagramă
522	locuitor	Masc	locuitor
523	membru	Neut	membru
524	informare	Fem	informare
525	englez	Masc	englez
526	nuntă	Fem	nuntă
527	parcare	Fem	parcare
528	folositor		folositor
529	vorbire	Fem	vorbire
530	cerneală	Fem	cerneală
531	bilet	Neut	bilet
532	culme	Fem	culme
533	elev	Masc	elev
534	armă	Fem	armă
535	supărare	Fem	supărare
536	om	Masc	om
537	cititoare	Fem	cititoare
538	plic	Neut	plic
539	regret	Neut	regret
540	gest	Neut	gest
541	cicatrice	Fem	cicatrice
542	navigare	Fem	navigare
543	vocală	Fem	vocală
544	formare	Fem	formare
545	rând	Neut	rând
546	cartonaș	Neut	cartonaș
547	pasiune	Fem	pasiune
548	deschidere	Fem	deschidere
549	șosetă	Fem	șosetă
550	iarbă	Fem	iarbă
551	torent	Neut	torent
552	predicat	Neut	predicat
553	optimist	Masc	optimist
554	hectar	Neut	hectar
555	salvare	Fem	salvare
556	rezolvare	Fem	rezolvare
557	buzunar	Neut	buzunar
558	martor	Masc	martor
559	săgeată	Fem	săgeată
560	școlar	Masc	școlar
561	jucător	Masc	jucător
562	termen	Neut	termen
563	vals	Neut	vals
564	ostaș	Masc	ostaș
565	doctor	Masc	doctor
566	comunitate	Fem	comunitate
567	rod	Neut	rod
568	spațiu	Neut	spațiu
569	asfalt	Neut	asfalt
570	diplomat		diplomat
571	stareț	Masc	stareț
572	întuneric		întuneric
573	performanță	Fem	performanță
574	vrăjitor	Masc	vrăjitor
575	trecere	Fem	trecere
576	elevă	Fem	elevă
577	rugăminte	Fem	rugăminte
578	preparare	Fem	preparare
579	rugă	Fem	rugă
580	consoană	Fem	consoană
581	ciob	Neut	ciob
582	știință	Fem	știință
583	cui	Neut	cui
584	interacțiune	Fem	interacțiune
585	pelerin	Masc	pelerin
586	casierie	Fem	casierie
587	parcurs	Neut	parcurs
588	foarfec	Masc	foarfec
589	geam	Neut	geam
590	copiat	Masc	copiat
591	rai		rai
592	bloc	Neut	bloc
593	locomotivă	Fem	locomotivă
594	tabelă	Fem	tabelă
595	telefon	Neut	telefon
596	dramaturg	Masc	dramaturg
597	slavă	Fem	slavă
598	anunțare	Fem	anunțare
599	gen	Neut	gen
600	abnegație	Fem	abnegație
601	mătase	Fem	mătase
602	admirație	Fem	admirație
603	disponibilitate	Fem	disponibilitate
604	consiliere	Fem	consiliere
605	cârd	Neut	cârd
606	cuprins	Neut	cuprins
607	intervenție	Fem	intervenție
608	tort	Neut	tort
609	castor	Masc	castor
610	deal	Neut	deal
611	cură	Fem	cură
612	convenție	Fem	convenție
613	salcie	Fem	salcie
614	altruism		altruism
615	floare	Fem	floare
616	receptare	Fem	receptare
617	meci	Neut	meci
618	farmacie	Fem	farmacie
619	spălat	Neut	spălat
620	sanie	Fem	sanie
621	cuceritor	Masc	cuceritor
622	nume	Neut	nume
623	cercetaș	Masc	cercetaș
624	cosmos	Neut	cosmos
625	caracter	Neut	caracter
626	vrabie	Fem	vrabie
627	mecanic	Masc	mecanic
628	aparat	Neut	aparat
629	monitorizare	Fem	monitorizare
630	strateg	Masc	strateg
631	săptămână	Fem	săptămână
632	olimpiadă	Fem	olimpiadă
633	voinic	Masc	voinic
634	moș	Masc	moș
635	eveniment	Neut	eveniment
636	faptă	Fem	faptă
637	coroană	Fem	coroană
638	protagonist	Masc	protagonist
639	pleoscăit	Neut	pleoscăit
640	portal	Neut	portal
641	sătean	Masc	sătean
642	schelet	Neut	schelet
643	alcool	Masc	alcool
644	fulger	Neut	fulger
645	talent	Neut	talent
646	cuvânt	Neut	cuvânt
647	studiere	Fem	studiere
648	înălțime	Fem	înălțime
649	tablou	Neut	tablou
650	tenor	Masc	tenor
651	învățare	Fem	învățare
652	portocală	Fem	portocală
653	an	Masc	an
654	roșie	Fem	roșie
655	credință	Fem	credință
656	testare	Fem	testare
657	chestionar	Neut	chestionar
658	normă	Fem	normă
659	legitimație	Fem	legitimație
660	comparație	Fem	comparație
661	șa	Fem	șa
662	perdea	Fem	perdea
663	tărâm	Neut	tărâm
664	para	Fem	para
665	haiduc	Masc	haiduc
666	eroism		eroism
667	schemă	Fem	schemă
668	instituție	Fem	instituție
669	ediție	Fem	ediție
670	rucsac	Neut	rucsac
671	curaj	Neut	curaj
672	asalt	Neut	asalt
673	folosire	Fem	folosire
674	vehicul	Neut	vehicul
675	grafic	Neut	grafic
676	leagăn	Neut	leagăn
677	lumină	Fem	lumină
678	învățătoare	Fem	învățătoare
679	desen	Neut	desen
680	recunoștință	Fem	recunoștință
681	utilizator	Masc	utilizator
682	plural	Neut	plural
683	tristețe	Fem	tristețe
684	moștenire	Fem	moștenire
685	stabilire	Fem	stabilire
686	politehnică	Fem	politehnică
687	acoperiș	Neut	acoperiș
688	copiere	Fem	copiere
689	pictură	Fem	pictură
690	mers	Neut	mers
691	inamic	Masc	inamic
692	agenție	Fem	agenție
693	răsplată	Fem	răsplată
694	televizor	Neut	televizor
695	barbar	Masc	barbar
696	trăire	Fem	trăire
697	podoabă	Fem	podoabă
698	culcare	Fem	culcare
699	repetare	Fem	repetare
700	salată	Fem	salată
701	cablu	Neut	cablu
702	spectacol	Neut	spectacol
703	evidențiat	Masc	evidențiat
704	leu	Masc	leu
705	oră	Fem	oră
706	chestie	Fem	chestie
707	păr	Masc	păr
708	imprimantă	Fem	imprimantă
709	fiu	Masc	fiu
710	posesie	Fem	posesie
711	prag	Neut	prag
712	pecete	Fem	pecete
713	prezent	Neut	prezent
714	generație	Fem	generație
715	amic	Masc	amic
716	ipocrit	Masc	ipocrit
717	sufix	Neut	sufix
718	hotel	Neut	hotel
719	încheiere	Fem	încheiere
720	asfințit	Neut	asfințit
721	ramură	Fem	ramură
722	viespe	Fem	viespe
723	venire	Fem	venire
724	mină	Fem	mină
725	întrebare	Fem	întrebare
726	amănunt	Neut	amănunt
727	raport	Neut	raport
728	cauză	Fem	cauză
729	nobilă	Fem	nobilă
730	producere	Fem	producere
731	învățător	Masc	învățător
732	localitate	Fem	localitate
733	vacanță	Fem	vacanță
734	clarificare	Fem	clarificare
735	cinema	Neut	cinema
736	documentare	Fem	documentare
737	text	Neut	text
738	noapte	Fem	noapte
739	ospăț		ospăț
740	etaj	Neut	etaj
741	cuc	Masc	cuc
742	inel	Neut	inel
743	laț	Neut	laț
744	cupru		cupru
745	motiv	Neut	motiv
746	însemnare	Fem	însemnare
747	burete	Masc	burete
748	intrus	Masc	intrus
749	raft	Neut	raft
750	înotătoare	Fem	înotătoare
751	coborât		coborât
752	înțelept	Masc	înțelept
753	chibrit	Neut	chibrit
754	pădure	Fem	pădure
755	viscol	Neut	viscol
756	tânăr	Masc	tânăr
757	manieră	Fem	manieră
758	apă	Fem	apă
759	făt	Masc	făt
760	sărac	Masc	sărac
761	boltă	Fem	boltă
762	recapitulare	Fem	recapitulare
763	calendar	Neut	calendar
764	prund	Neut	prund
765	funcționară	Fem	funcționară
766	tabel	Neut	tabel
767	aur		aur
768	filologie	Fem	filologie
769	ghiulea	Fem	ghiulea
770	sărbătoare	Fem	sărbătoare
771	obrăznicie	Fem	obrăznicie
772	in	Neut	in
773	pământ	Neut	pământ
774	turneu	Neut	turneu
775	geograf	Masc	geograf
776	căldură	Fem	căldură
777	inaugurare	Fem	inaugurare
778	sfinție	Fem	sfinție
779	ceară		ceară
780	fetiță	Fem	fetiță
781	sulf		sulf
782	îmbrăcat		îmbrăcat
783	corespondență	Fem	corespondență
784	geografie	Fem	geografie
785	iluzie	Fem	iluzie
786	ecou	Neut	ecou
787	redare	Fem	redare
788	anișor	Masc	anișor
789	mic		mic
790	vuiet	Neut	vuiet
791	formă	Fem	formă
792	afirmație	Fem	afirmație
793	chin	Neut	chin
794	judecată	Fem	judecată
795	poruncă	Fem	poruncă
796	ordin	Neut	ordin
797	glorie	Fem	glorie
798	primă	Fem	primă
799	flăcău	Masc	flăcău
800	tavă	Fem	tavă
801	sublocotenent	Masc	sublocotenent
802	depozitare	Fem	depozitare
803	grabă	Fem	grabă
804	antreu	Neut	antreu
805	căsuță	Fem	căsuță
806	copilă	Fem	copilă
807	act	Neut	act
808	cameră	Fem	cameră
809	scenă	Fem	scenă
810	cozonac	Masc	cozonac
811	încurcătură	Fem	încurcătură
812	extaz	Neut	extaz
813	pictor	Masc	pictor
814	canapea	Fem	canapea
815	drumeție	Fem	drumeție
816	miniatură	Fem	miniatură
817	sculă	Fem	sculă
818	refacere	Fem	refacere
819	mister	Neut	mister
820	părere	Fem	părere
821	calciu		calciu
822	vâlvă	Fem	vâlvă
823	adult	Masc	adult
824	sfială	Fem	sfială
825	rachetă	Fem	rachetă
826	aproximație	Fem	aproximație
827	introducere	Fem	introducere
828	specie	Fem	specie
829	bunică	Fem	bunică
830	bucurie	Fem	bucurie
831	jurământ	Neut	jurământ
832	poezie	Fem	poezie
833	magician	Masc	magician
834	vânător	Masc	vânător
835	hop	Neut	hop
836	calificativ	Neut	calificativ
837	vizitator	Masc	vizitator
838	tăbliță	Fem	tăbliță
839	purtare	Fem	purtare
840	nefericire	Fem	nefericire
841	pânză	Fem	pânză
842	emoție	Fem	emoție
843	cerc	Neut	cerc
844	regiune	Fem	regiune
845	gheretă	Fem	gheretă
846	săniuș	Neut	săniuș
847	necunoscut	Masc	necunoscut
848	profesoară	Fem	profesoară
849	organizație	Fem	organizație
850	roșior	Masc	roșior
851	șarpe	Masc	șarpe
852	modul	Neut	modul
853	pălărie	Fem	pălărie
854	salariu	Neut	salariu
855	muzeu	Neut	muzeu
856	trimis	Masc	trimis
857	colb	Neut	colb
858	soție	Fem	soție
859	boier	Masc	boier
860	umanitate	Fem	umanitate
861	codiță	Fem	codiță
862	postare	Fem	postare
863	piersică	Fem	piersică
864	afacere	Fem	afacere
865	liniște	Fem	liniște
866	internat	Neut	internat
867	redactare	Fem	redactare
868	personificare	Fem	personificare
869	punct	Neut	punct
870	trofeu	Neut	trofeu
871	caiet	Neut	caiet
872	cunoștință	Fem	cunoștință
873	boț	Neut	boț
874	mort	Masc	mort
875	scenetă	Fem	scenetă
876	interpretă	Fem	interpretă
877	accept	Neut	accept
878	coastă	Fem	coastă
879	calificare	Fem	calificare
880	pagină	Fem	pagină
881	tobogan	Neut	tobogan
882	temelie	Fem	temelie
883	paznic	Masc	paznic
884	cartelă	Fem	cartelă
885	imagină		imagină
886	manevră	Fem	manevră
887	provocare	Fem	provocare
888	lupă	Fem	lupă
889	etichetă	Fem	etichetă
890	palmă	Fem	palmă
891	exterior		exterior
892	sătuc	Neut	sătuc
893	comportament	Neut	comportament
894	oțel	Neut	oțel
895	iepuraș	Masc	iepuraș
896	foarfecă	Fem	foarfecă
897	optimistă	Fem	optimistă
898	culoar	Neut	culoar
899	călugăr	Masc	călugăr
900	ortografie	Fem	ortografie
901	repetiție	Fem	repetiție
902	țintă	Fem	țintă
903	borcan	Neut	borcan
904	sevă	Fem	sevă
905	existență	Fem	existență
906	popă	Masc	popă
907	enigmă	Fem	enigmă
908	vrăjitoare	Fem	vrăjitoare
909	măr	Neut	măr
910	pod	Neut	pod
911	tovărășie	Fem	tovărășie
912	vechime	Fem	vechime
913	manifest	Neut	manifest
914	evaluare	Fem	evaluare
915	cădere	Fem	cădere
916	paranteză	Fem	paranteză
917	sorț	Masc	sorț
918	portofoliu	Neut	portofoliu
919	venit	Neut	venit
920	emițător	Neut	emițător
921	monografie	Fem	monografie
922	alee	Fem	alee
923	scriere	Fem	scriere
924	unire	Fem	unire
925	babă	Fem	babă
926	sihastru	Masc	sihastru
927	renume	Neut	renume
928	domniță	Fem	domniță
929	văz		văz
930	precizie	Fem	precizie
931	nebunie	Fem	nebunie
932	aeroport	Neut	aeroport
933	undă	Fem	undă
934	atribut	Neut	atribut
935	palat	Neut	palat
936	intrând	Neut	intrând
937	familie	Fem	familie
938	dreptunghi	Neut	dreptunghi
939	lătrat	Neut	lătrat
940	ușă	Fem	ușă
941	exprimare	Fem	exprimare
942	plop	Masc	plop
943	oaie	Fem	oaie
944	profeție	Fem	profeție
945	trecut	Neut	trecut
946	lumânare	Fem	lumânare
947	buză	Fem	buză
948	furnică	Fem	furnică
949	răbdare	Fem	răbdare
950	confruntare	Fem	confruntare
951	precizare	Fem	precizare
952	imn	Neut	imn
953	înțelepciune	Fem	înțelepciune
954	derulare	Fem	derulare
955	formulă	Fem	formulă
956	jurnalist	Masc	jurnalist
957	mijloc	Neut	mijloc
958	pantalon	Masc	pantalon
959	ocean	Neut	ocean
960	bibliotecar	Masc	bibliotecar
961	concurs	Neut	concurs
962	biscuit	Masc	biscuit
963	spin	Masc	spin
964	aruncare	Fem	aruncare
965	particulă	Fem	particulă
966	colecție	Fem	colecție
967	tel	Neut	tel
968	realizare	Fem	realizare
969	râu	Neut	râu
970	egoism		egoism
971	corectare	Fem	corectare
972	opțiune	Fem	opțiune
973	domnitor	Masc	domnitor
974	fum	Neut	fum
975	măsură	Fem	măsură
976	finală	Fem	finală
977	manifestare	Fem	manifestare
978	detaliu	Neut	detaliu
979	pâine	Fem	pâine
980	cioară	Fem	cioară
981	far	Neut	far
982	platformă	Fem	platformă
983	tunet	Neut	tunet
984	secol	Neut	secol
985	completare	Fem	completare
986	copăcel	Masc	copăcel
987	inteligență	Fem	inteligență
